pot,date,n_lesions,size_lesions,genotype_id,type,rep,row,column,fgcc
384,2021-07-13,0,0,VVL110,Vavilov,1,16,24,0.1622055508460605
385,2021-07-13,0,0,FLP299,FLIP,1,17,1,0.105973012472052
386,2021-07-13,1,3.974717331265588e-4,FLP300,FLIP,1,17,2,0.1358928168622516
387,2021-07-13,0,0,FLP301,FLIP,1,17,3,0.13681694233826908
388,2021-07-13,0,0,FLP302,FLIP,1,17,4,0.12414085561167836
409,2021-07-13,0,0,FLP319,FLIP,1,18,1,0.13855588812647396
410,2021-07-13,0,0,FLP320,FLIP,1,18,2,0.06592757517796222
411,2021-07-13,0,0,VVL114,Vavilov,1,18,3,0.11880808852785003
412,2021-07-13,0,0,VVL115,Vavilov,1,18,4,0.13428967445941128
433,2021-07-13,0,0,FLP335,FLIP,1,19,1,0.10505219927372636
434,2021-07-13,0,0,FLP336,FLIP,1,19,2,0.08641070042416994
435,2021-07-13,0,0,FLP337,FLIP,1,19,3,0.19543763292807892
436,2021-07-13,0,0,FLP338,FLIP,1,19,4,0.20232717052706212
457,2021-07-13,1,2.6829341986042726e-4,FLP354,FLIP,1,20,1,0.22810331552479635
458,2021-07-13,0,0,VVL126,Vavilov,1,20,2,0.12468075687544485
459,2021-07-13,0,0,FLP355,FLIP,1,20,3,0.16076802232781112
460,2021-07-13,0,0,FLP356,FLIP,1,20,4,0.13448178656553678
389,2021-07-13,0,0,FLP303,FLIP,1,17,5,0.08283344051700559
390,2021-07-13,0,0,FLP304,FLIP,1,17,6,0.1729671410667799
391,2021-07-13,0,0,FLP305,FLIP,1,17,7,0.21934896558531913
392,2021-07-13,0,0,VVL111,Vavilov,1,17,8,0.17188071398386331
413,2021-07-13,0,0,VVL116,Vavilov,1,18,5,0.09809972839859864
414,2021-07-13,0,0,FLP321,FLIP,1,18,6,0.1299472784054368
415,2021-07-13,0,0,VVL117,Vavilov,1,18,7,0.20118443472338465
416,2021-07-13,0,0,FLP322,FLIP,1,18,8,0.2349696671799368
437,2021-07-13,0,0,FLP339,FLIP,1,19,5,0.14164624321294095
438,2021-07-13,0,0,FLP340,FLIP,1,19,6,0.1184702362032845
439,2021-07-13,0,0,FLP341,FLIP,1,19,7,0.17719360740154075
440,2021-07-13,0,0,FLP342,FLIP,1,19,8,0.1810689723009688
461,2021-07-13,0,0,FLP357,FLIP,1,20,5,0.13540591204155425
462,2021-07-13,0,0,FLP358,FLIP,1,20,6,0.23518827750759683
463,2021-07-13,0,0,FLP359,FLIP,1,20,7,0.19779597464465395
464,2021-07-13,0,0,FLP360,FLIP,1,20,8,0.15018860738014173
393,2021-07-13,0,0,FLP306,FLIP,1,17,9,0.09773869013019038
394,2021-07-13,0,0,FLP307,FLIP,1,17,10,0.0478524758137068
395,2021-07-13,0,0,VVL112,Vavilov,1,17,11,0.13763838720584015
396,2021-07-13,0,0,FLP308,FLIP,1,17,12,0.13829090591112844
417,2021-07-13,0,0,FLP323,FLIP,1,18,9,0.13442547784477588
418,2021-07-13,1,2.9810379984491917e-4,FLP324,FLIP,1,18,10,0.19498385088429976
419,2021-07-13,0,0,FLP325,FLIP,1,18,11,0.1076589618171878
420,2021-07-13,0,0,FLP326,FLIP,1,18,12,0.1568462855406976
441,2021-07-13,0,0,VVL122,Vavilov,1,19,9,0.15195073911218937
442,2021-07-13,0,0,VVL123,Vavilov,1,19,10,0.14426625486716965
443,2021-07-13,0,0,VVL124,Vavilov,1,19,11,0.08405567098528674
444,2021-07-13,0,0,FLP343,FLIP,1,19,12,0.2429621932502957
465,2021-07-13,0,0,VVL127,Vavilov,1,20,9,0.1253928965791859
466,2021-07-13,0,0,FLP361,FLIP,1,20,10,0.15943648669569993
467,2021-07-13,0,0,FLP362,FLIP,1,20,11,0.14838341603810046
468,2021-07-13,0,0,FLP363,FLIP,1,20,12,0.13935745932789412
397,2021-07-13,0,0,VVL113,Vavilov,1,17,13,0.01248066234277339
398,2021-07-13,0,0,FLP309,FLIP,1,17,14,0.14512744706704253
399,2021-07-13,1,5.100887241790839e-4,FLP310,FLIP,1,17,15,0.07356568753529648
